"country","year","connectivity_index","iso"
"Costa Rica","2018",16.957712078,"CRI"
"Costa Rica","2019",17.9729817515,"CRI"
"Costa Rica","2020",24.1201658624,"CRI"
"Côte d’Ivoire","2006",15.4052988063,"CIV"
"Côte d’Ivoire","2007",16.0387398957,"CIV"
"Côte d’Ivoire","2008",18.2824899361,"CIV"
"Côte d’Ivoire","2009",20.2509225254,"CIV"
"Côte d’Ivoire","2010",19.9250025504,"CIV"
"Côte d’Ivoire","2011",20.2003647241,"CIV"
"Côte d’Ivoire","2012",17.1384351111,"CIV"
"Côte d’Ivoire","2013",19.9987579088,"CIV"
"Côte d’Ivoire","2014",21.5368327151,"CIV"
"Côte d’Ivoire","2015",22.310080948,"CIV"
"Côte d’Ivoire","2016",21.0410957233,"CIV"
"Côte d’Ivoire","2017",20.3010570676,"CIV"
"Côte d’Ivoire","2018",18.9942685542,"CIV"
"Côte d’Ivoire","2019",18.8847642223,"CIV"
"Côte d’Ivoire","2020",19.9578699635,"CIV"
"Croatia","2006",10.667693326,"HRV"
"Croatia","2007",11.7922882777,"HRV"
"Croatia","2008",14.8640912571,"HRV"
"Croatia","2009",13.9756570873,"HRV"
"Croatia","2010",33.5549563011,"HRV"
"Croatia","2011",18.5627826344,"HRV"
"Croatia","2012",17.7857262289,"HRV"
"Croatia","2013",18.4298315442,"HRV"
"Croatia","2014",20.7067187704,"HRV"
"Croatia","2015",22.7960484584,"HRV"
"Croatia","2016",27.589661918,"HRV"
"Croatia","2017",30.8083306101,"HRV"
"Croatia","2018",30.6623730891,"HRV"
"Croatia","2019",29.4780595269,"HRV"
"Croatia","2020",33.5734237019,"HRV"
"Cuba","2006",7.8167547349,"CUB"
